Sexo;Duración;Destino;Tipo de dato;Periodo;Total
Total;De 1 a 3 noches;Total;Porcentaje sobre personas de la categoría;2018;49,42
Total;De 1 a 3 noches;Total;Porcentaje sobre personas de la categoría;2017;51,54
Total;De 1 a 3 noches;Total;Porcentaje sobre personas de la categoría;2016;47,26
Total;De 1 a 3 noches;Total;Porcentaje sobre personas de la categoría;2015;45,98
Total;De 1 a 3 noches;Total;Porcentaje sobre el total de viajeros;2023;79,97
Total;De 1 a 3 noches;Total;Porcentaje sobre el total de viajeros;2022;79,7
Total;De 1 a 3 noches;Total;Porcentaje sobre el total de viajeros;2021;71,36
Total;De 1 a 3 noches;Total;Porcentaje sobre el total de viajeros;2020;76,01
Total;De 1 a 3 noches;Total;Porcentaje sobre el total de viajeros;2019;76,67
Total;De 1 a 3 noches;Total;Porcentaje sobre el total de viajeros;2018;73,35
Total;De 1 a 3 noches;Total;Porcentaje sobre el total de viajeros;2017;78,51
Total;De 1 a 3 noches;Total;Porcentaje sobre el total de viajeros;2016;71,9
Total;De 1 a 3 noches;Total;Porcentaje sobre el total de viajeros;2015;73,22
Total;De 1 a 3 noches;Solo España;Porcentaje sobre personas de la categoría;2023;35,15
Total;De 1 a 3 noches;Solo España;Porcentaje sobre personas de la categoría;2022;37,49
Total;De 1 a 3 noches;Solo España;Porcentaje sobre personas de la categoría;2021;33,16
Total;De 1 a 3 noches;Solo España;Porcentaje sobre personas de la categoría;2020;33,31
Total;De 1 a 3 noches;Solo España;Porcentaje sobre personas de la categoría;2019;32,7
Total;De 1 a 3 noches;Solo España;Porcentaje sobre personas de la categoría;2018;30,9
Total;De 1 a 3 noches;Solo España;Porcentaje sobre personas de la categoría;2017;34,15
Total;De 1 a 3 noches;Solo España;Porcentaje sobre personas de la categoría;2016;32,36
Total;De 1 a 3 noches;Solo España;Porcentaje sobre personas de la categoría;2015;31,82
Total;De 1 a 3 noches;Solo España;Porcentaje sobre el total de viajeros;2023;51,1
Total;De 1 a 3 noches;Solo España;Porcentaje sobre el total de viajeros;2022;57,35
Total;De 1 a 3 noches;Solo España;Porcentaje sobre el total de viajeros;2021;61,27
Total;De 1 a 3 noches;Solo España;Porcentaje sobre el total de viajeros;2020;52,09
Total;De 1 a 3 noches;Solo España;Porcentaje sobre el total de viajeros;2019;46,95
Total;De 1 a 3 noches;Solo España;Porcentaje sobre el total de viajeros;2018;45,87
Total;De 1 a 3 noches;Solo España;Porcentaje sobre el total de viajeros;2017;52,02
Total;De 1 a 3 noches;Solo España;Porcentaje sobre el total de viajeros;2016;49,24
Total;De 1 a 3 noches;Solo España;Porcentaje sobre el total de viajeros;2015;50,67
Total;De 1 a 3 noches;Solo extranjero;Porcentaje sobre personas de la categoría;2023;2,32
Total;De 1 a 3 noches;Solo extranjero;Porcentaje sobre personas de la categoría;2022;1,66
Total;De 1 a 3 noches;Solo extranjero;Porcentaje sobre personas de la categoría;2021;0,83
Total;De 1 a 3 noches;Solo extranjero;Porcentaje sobre personas de la categoría;2020;1,52
Total;De 1 a 3 noches;Solo extranjero;Porcentaje sobre personas de la categoría;2019;2,1
Total;De 1 a 3 noches;Solo extranjero;Porcentaje sobre personas de la categoría;2018;1,92
Total;De 1 a 3 noches;Solo extranjero;Porcentaje sobre personas de la categoría;2017;1,81
Total;De 1 a 3 noches;Solo extranjero;Porcentaje sobre personas de la categoría;2016;1,26
Total;De 1 a 3 noches;Solo extranjero;Porcentaje sobre personas de la categoría;2015;1,56
Total;De 1 a 3 noches;Solo extranjero;Porcentaje sobre el total de viajeros;2023;3,37
Total;De 1 a 3 noches;Solo extranjero;Porcentaje sobre el total de viajeros;2022;2,55
Total;De 1 a 3 noches;Solo extranjero;Porcentaje sobre el total de viajeros;2021;1,54
Total;De 1 a 3 noches;Solo extranjero;Porcentaje sobre el total de viajeros;2020;2,37
Total;De 1 a 3 noches;Solo extranjero;Porcentaje sobre el total de viajeros;2019;3,01
Total;De 1 a 3 noches;Solo extranjero;Porcentaje sobre el total de viajeros;2018;2,85
Total;De 1 a 3 noches;Solo extranjero;Porcentaje sobre el total de viajeros;2017;2,76
Total;De 1 a 3 noches;Solo extranjero;Porcentaje sobre el total de viajeros;2016;1,91
Total;De 1 a 3 noches;Solo extranjero;Porcentaje sobre el total de viajeros;2015;2,49
Total;De 1 a 3 noches;España y extranjero;Porcentaje sobre personas de la categoría;2023;17,53
Total;De 1 a 3 noches;España y extranjero;Porcentaje sobre personas de la categoría;2022;12,95
Total;De 1 a 3 noches;España y extranjero;Porcentaje sobre personas de la categoría;2021;4,63
Total;De 1 a 3 noches;España y extranjero;Porcentaje sobre personas de la categoría;2020;13,78
Total;De 1 a 3 noches;España y extranjero;Porcentaje sobre personas de la categoría;2019;18,61
Total;De 1 a 3 noches;España y extranjero;Porcentaje sobre personas de la categoría;2018;16,59
Total;De 1 a 3 noches;España y extranjero;Porcentaje sobre personas de la categoría;2017;15,58
Total;De 1 a 3 noches;España y extranjero;Porcentaje sobre personas de la categoría;2016;13,64
Total;De 1 a 3 noches;España y extranjero;Porcentaje sobre personas de la categoría;2015;12,59
Total;De 1 a 3 noches;España y extranjero;Porcentaje sobre el total de viajeros;2023;25,49
Total;De 1 a 3 noches;España y extranjero;Porcentaje sobre el total de viajeros;2022;19,81
Total;De 1 a 3 noches;España y extranjero;Porcentaje sobre el total de viajeros;2021;8,55
Total;De 1 a 3 noches;España y extranjero;Porcentaje sobre el total de viajeros;2020;21,54
Total;De 1 a 3 noches;España y extranjero;Porcentaje sobre el total de viajeros;2019;26,71
Total;De 1 a 3 noches;España y extranjero;Porcentaje sobre el total de viajeros;2018;24,63
Total;De 1 a 3 noches;España y extranjero;Porcentaje sobre el total de viajeros;2017;23,74
Total;De 1 a 3 noches;España y extranjero;Porcentaje sobre el total de viajeros;2016;20,75
Total;De 1 a 3 noches;España y extranjero;Porcentaje sobre el total de viajeros;2015;20,06
Total;De 4 o más noches;Total;Porcentaje sobre personas de la categoría;2023;53,64
Total;De 4 o más noches;Total;Porcentaje sobre personas de la categoría;2022;49,25
Total;De 4 o más noches;Total;Porcentaje sobre personas de la categoría;2021;38,97
Total;De 4 o más noches;Total;Porcentaje sobre personas de la categoría;2020;48,96
Total;De 4 o más noches;Total;Porcentaje sobre personas de la categoría;2019;54,56
Total;De 4 o más noches;Total;Porcentaje sobre personas de la categoría;2018;52,72
Total;De 4 o más noches;Total;Porcentaje sobre personas de la categoría;2017;49,84
Total;De 4 o más noches;Total;Porcentaje sobre personas de la categoría;2016;50,46
Total;De 4 o más noches;Total;Porcentaje sobre personas de la categoría;2015;48
Total;De 4 o más noches;Total;Porcentaje sobre el total de viajeros;2023;77,98
Total;De 4 o más noches;Total;Porcentaje sobre el total de viajeros;2022;75,34
Total;De 4 o más noches;Total;Porcentaje sobre el total de viajeros;2021;72,01
Total;De 4 o más noches;Total;Porcentaje sobre el total de viajeros;2020;76,56
Total;De 4 o más noches;Total;Porcentaje sobre el total de viajeros;2019;78,32
Total;De 4 o más noches;Total;Porcentaje sobre el total de viajeros;2018;78,25
Total;De 4 o más noches;Total;Porcentaje sobre el total de viajeros;2017;75,93
Total;De 4 o más noches;Total;Porcentaje sobre el total de viajeros;2016;76,77
Total;De 4 o más noches;Total;Porcentaje sobre el total de viajeros;2015;76,44
