País de residencia;Total Nacional y CCAA;Tipo de dato;Gastos y duración media de los viajes;Periodo;Total
Total;01 Andalucía;Dato base;Duración media de los viajes;2022;8,76
Total;01 Andalucía;Dato base;Duración media de los viajes;2021;9,84
Total;01 Andalucía;Dato base;Duración media de los viajes;2020;9,45
Total;01 Andalucía;Dato base;Duración media de los viajes;2019;8,31
Total;01 Andalucía;Dato base;Duración media de los viajes;2018;8,98
Total;01 Andalucía;Dato base;Duración media de los viajes;2017;9,56
Total;01 Andalucía;Dato base;Duración media de los viajes;2016;9,68
Total;01 Andalucía;Tasa de variación anual;Gasto total;2023;27,74
Total;01 Andalucía;Tasa de variación anual;Gasto total;2022;151,45
Total;01 Andalucía;Tasa de variación anual;Gasto total;2021;65,85
Total;01 Andalucía;Tasa de variación anual;Gasto total;2020;-76,84
Total;01 Andalucía;Tasa de variación anual;Gasto total;2019;-1,81
Total;01 Andalucía;Tasa de variación anual;Gasto total;2018;-0,25
Total;01 Andalucía;Tasa de variación anual;Gasto total;2017;11,96
Total;01 Andalucía;Tasa de variación anual;Gasto total;2016;8,14
Total;01 Andalucía;Tasa de variación anual;Gasto medio por persona;2023;4,89
Total;01 Andalucía;Tasa de variación anual;Gasto medio por persona;2022;6,72
Total;01 Andalucía;Tasa de variación anual;Gasto medio por persona;2021;5,43
Total;01 Andalucía;Tasa de variación anual;Gasto medio por persona;2020;3,12
Total;01 Andalucía;Tasa de variación anual;Gasto medio por persona;2019;-4,6
Total;01 Andalucía;Tasa de variación anual;Gasto medio por persona;2018;-1,64
Total;01 Andalucía;Tasa de variación anual;Gasto medio por persona;2017;2,94
Total;01 Andalucía;Tasa de variación anual;Gasto medio por persona;2016;-4,64
Total;01 Andalucía;Tasa de variación anual;Gasto medio diario por persona;2023;12,29
Total;01 Andalucía;Tasa de variación anual;Gasto medio diario por persona;2022;19,92
Total;01 Andalucía;Tasa de variación anual;Gasto medio diario por persona;2021;1,17
Total;01 Andalucía;Tasa de variación anual;Gasto medio diario por persona;2020;-9,27
Total;01 Andalucía;Tasa de variación anual;Gasto medio diario por persona;2019;3,03
Total;01 Andalucía;Tasa de variación anual;Gasto medio diario por persona;2018;4,78
Total;01 Andalucía;Tasa de variación anual;Gasto medio diario por persona;2017;4,19
Total;01 Andalucía;Tasa de variación anual;Gasto medio diario por persona;2016;2,95
Total;01 Andalucía;Tasa de variación anual;Duración media de los viajes;2023;-6,59
Total;01 Andalucía;Tasa de variación anual;Duración media de los viajes;2022;-11,01
Total;01 Andalucía;Tasa de variación anual;Duración media de los viajes;2021;4,21
Total;01 Andalucía;Tasa de variación anual;Duración media de los viajes;2020;13,66
Total;01 Andalucía;Tasa de variación anual;Duración media de los viajes;2019;-7,41
Total;01 Andalucía;Tasa de variación anual;Duración media de los viajes;2018;-6,13
Total;01 Andalucía;Tasa de variación anual;Duración media de los viajes;2017;-1,21
Total;01 Andalucía;Tasa de variación anual;Duración media de los viajes;2016;-7,38
Total;04 Balears, Illes;Dato base;Gasto total;2023;17.692,25
Total;04 Balears, Illes;Dato base;Gasto total;2022;15.221,57
Total;04 Balears, Illes;Dato base;Gasto total;2021;7.278,84
Total;04 Balears, Illes;Dato base;Gasto total;2020;1.838,85
Total;04 Balears, Illes;Dato base;Gasto total;2019;14.843,39
Total;04 Balears, Illes;Dato base;Gasto total;2018;14.757,2
Total;04 Balears, Illes;Dato base;Gasto total;2017;14.599,89
Total;04 Balears, Illes;Dato base;Gasto total;2016;13.005,65
Total;04 Balears, Illes;Dato base;Gasto medio por persona;2023;1.227
Total;04 Balears, Illes;Dato base;Gasto medio por persona;2022;1.153
Total;04 Balears, Illes;Dato base;Gasto medio por persona;2021;1.151
Total;04 Balears, Illes;Dato base;Gasto medio por persona;2020;1.068
Total;04 Balears, Illes;Dato base;Gasto medio por persona;2019;1.085
Total;04 Balears, Illes;Dato base;Gasto medio por persona;2018;1.065
Total;04 Balears, Illes;Dato base;Gasto medio por persona;2017;1.059
Total;04 Balears, Illes;Dato base;Gasto medio por persona;2016;1.001
Total;04 Balears, Illes;Dato base;Gasto medio diario por persona;2023;189
Total;04 Balears, Illes;Dato base;Gasto medio diario por persona;2022;173
Total;04 Balears, Illes;Dato base;Gasto medio diario por persona;2021;159
Total;04 Balears, Illes;Dato base;Gasto medio diario por persona;2020;140
Total;04 Balears, Illes;Dato base;Gasto medio diario por persona;2019;162
Total;04 Balears, Illes;Dato base;Gasto medio diario por persona;2018;156
Total;04 Balears, Illes;Dato base;Gasto medio diario por persona;2017;144
Total;04 Balears, Illes;Dato base;Gasto medio diario por persona;2016;137
Total;04 Balears, Illes;Dato base;Duración media de los viajes;2023;6,49
Total;04 Balears, Illes;Dato base;Duración media de los viajes;2022;6,66
Total;04 Balears, Illes;Dato base;Duración media de los viajes;2021;7,22
Total;04 Balears, Illes;Dato base;Duración media de los viajes;2020;7,65
Total;04 Balears, Illes;Dato base;Duración media de los viajes;2019;6,69
