País de residencia;Total Nacional y CCAA;Tipo de dato;Gastos y duración media de los viajes;Periodo;Total
Reino Unido;05 Canarias;Dato base;Gasto medio por persona;2016;1.012
Reino Unido;05 Canarias;Dato base;Gasto medio diario por persona;2023;174
Reino Unido;05 Canarias;Dato base;Gasto medio diario por persona;2022;162
Reino Unido;05 Canarias;Dato base;Gasto medio diario por persona;2021;146
Reino Unido;05 Canarias;Dato base;Gasto medio diario por persona;2020;140
Reino Unido;05 Canarias;Dato base;Gasto medio diario por persona;2019;145
Reino Unido;05 Canarias;Dato base;Gasto medio diario por persona;2018;139
Reino Unido;05 Canarias;Dato base;Gasto medio diario por persona;2017;130
Reino Unido;05 Canarias;Dato base;Gasto medio diario por persona;2016;120
Reino Unido;05 Canarias;Dato base;Duración media de los viajes;2023;7,52
Reino Unido;05 Canarias;Dato base;Duración media de los viajes;2022;7,95
Reino Unido;05 Canarias;Dato base;Duración media de los viajes;2021;8,25
Reino Unido;05 Canarias;Dato base;Duración media de los viajes;2020;8,18
Reino Unido;05 Canarias;Dato base;Duración media de los viajes;2019;7,96
Reino Unido;05 Canarias;Dato base;Duración media de los viajes;2018;7,98
Reino Unido;05 Canarias;Dato base;Duración media de los viajes;2017;8,06
Reino Unido;05 Canarias;Dato base;Duración media de los viajes;2016;8,42
Reino Unido;05 Canarias;Tasa de variación anual;Gasto total;2023;16,51
Reino Unido;05 Canarias;Tasa de variación anual;Gasto total;2022;300,05
Reino Unido;05 Canarias;Tasa de variación anual;Gasto total;2021;15,02
Reino Unido;05 Canarias;Tasa de variación anual;Gasto total;2020;-76,72
Reino Unido;05 Canarias;Tasa de variación anual;Gasto total;2019;0,61
Reino Unido;05 Canarias;Tasa de variación anual;Gasto total;2018;-1,34
Reino Unido;05 Canarias;Tasa de variación anual;Gasto total;2017;12,98
Reino Unido;05 Canarias;Tasa de variación anual;Gasto total;2016;17,88
Reino Unido;05 Canarias;Tasa de variación anual;Gasto medio por persona;2023;1,65
Reino Unido;05 Canarias;Tasa de variación anual;Gasto medio por persona;2022;6,69
Reino Unido;05 Canarias;Tasa de variación anual;Gasto medio por persona;2021;5,44
Reino Unido;05 Canarias;Tasa de variación anual;Gasto medio por persona;2020;-0,65
Reino Unido;05 Canarias;Tasa de variación anual;Gasto medio por persona;2019;3,74
Reino Unido;05 Canarias;Tasa de variación anual;Gasto medio por persona;2018;6,04
Reino Unido;05 Canarias;Tasa de variación anual;Gasto medio por persona;2017;3,49
Reino Unido;05 Canarias;Tasa de variación anual;Gasto medio por persona;2016;-0,75
Reino Unido;05 Canarias;Tasa de variación anual;Gasto medio diario por persona;2023;7,41
Reino Unido;05 Canarias;Tasa de variación anual;Gasto medio diario por persona;2022;10,73
Reino Unido;05 Canarias;Tasa de variación anual;Gasto medio diario por persona;2021;4,6
Reino Unido;05 Canarias;Tasa de variación anual;Gasto medio diario por persona;2020;-3,38
Reino Unido;05 Canarias;Tasa de variación anual;Gasto medio diario por persona;2019;4,02
Reino Unido;05 Canarias;Tasa de variación anual;Gasto medio diario por persona;2018;7,13
Reino Unido;05 Canarias;Tasa de variación anual;Gasto medio diario por persona;2017;8,12
Reino Unido;05 Canarias;Tasa de variación anual;Gasto medio diario por persona;2016;1,79
Reino Unido;05 Canarias;Tasa de variación anual;Duración media de los viajes;2023;-5,36
Reino Unido;05 Canarias;Tasa de variación anual;Duración media de los viajes;2022;-3,64
Reino Unido;05 Canarias;Tasa de variación anual;Duración media de los viajes;2021;0,8
Reino Unido;05 Canarias;Tasa de variación anual;Duración media de los viajes;2020;2,83
Reino Unido;05 Canarias;Tasa de variación anual;Duración media de los viajes;2019;-0,26
Reino Unido;05 Canarias;Tasa de variación anual;Duración media de los viajes;2018;-1,01
Reino Unido;05 Canarias;Tasa de variación anual;Duración media de los viajes;2017;-4,28
Reino Unido;05 Canarias;Tasa de variación anual;Duración media de los viajes;2016;-2,49
Reino Unido;09 Cataluña;Dato base;Gasto total;2023;1.913,86
Reino Unido;09 Cataluña;Dato base;Gasto total;2022;1.580,69
Reino Unido;09 Cataluña;Dato base;Gasto total;2021;251,35
Reino Unido;09 Cataluña;Dato base;Gasto total;2020;212,29
Reino Unido;09 Cataluña;Dato base;Gasto total;2019;1.943,08
Reino Unido;09 Cataluña;Dato base;Gasto total;2018;1.901,64
Reino Unido;09 Cataluña;Dato base;Gasto total;2017;1.673,85
Reino Unido;09 Cataluña;Dato base;Gasto total;2016;1.641,07
Reino Unido;09 Cataluña;Dato base;Gasto medio por persona;2023;1.065
Reino Unido;09 Cataluña;Dato base;Gasto medio por persona;2022;1.088
Reino Unido;09 Cataluña;Dato base;Gasto medio por persona;2021;883
Reino Unido;09 Cataluña;Dato base;Gasto medio por persona;2020;758
Reino Unido;09 Cataluña;Dato base;Gasto medio por persona;2019;964
Reino Unido;09 Cataluña;Dato base;Gasto medio por persona;2018;903
Reino Unido;09 Cataluña;Dato base;Gasto medio por persona;2017;770
Reino Unido;09 Cataluña;Dato base;Gasto medio por persona;2016;796
Reino Unido;09 Cataluña;Dato base;Gasto medio diario por persona;2023;210
Reino Unido;09 Cataluña;Dato base;Gasto medio diario por persona;2022;191
Reino Unido;09 Cataluña;Dato base;Gasto medio diario por persona;2021;152
Reino Unido;09 Cataluña;Dato base;Gasto medio diario por persona;2020;148
Reino Unido;09 Cataluña;Dato base;Gasto medio diario por persona;2019;174
Reino Unido;09 Cataluña;Dato base;Gasto medio diario por persona;2018;157
Reino Unido;09 Cataluña;Dato base;Gasto medio diario por persona;2017;136
Reino Unido;09 Cataluña;Dato base;Gasto medio diario por persona;2016;138
Reino Unido;09 Cataluña;Dato base;Duración media de los viajes;2023;5,08
Reino Unido;09 Cataluña;Dato base;Duración media de los viajes;2022;5,71
Reino Unido;09 Cataluña;Dato base;Duración media de los viajes;2021;5,8
Reino Unido;09 Cataluña;Dato base;Duración media de los viajes;2020;5,12
Reino Unido;09 Cataluña;Dato base;Duración media de los viajes;2019;5,53
Reino Unido;09 Cataluña;Dato base;Duración media de los viajes;2018;5,74
Reino Unido;09 Cataluña;Dato base;Duración media de los viajes;2017;5,66
Reino Unido;09 Cataluña;Dato base;Duración media de los viajes;2016;5,77
Reino Unido;09 Cataluña;Tasa de variación anual;Gasto total;2023;21,08
Reino Unido;09 Cataluña;Tasa de variación anual;Gasto total;2022;528,87
Reino Unido;09 Cataluña;Tasa de variación anual;Gasto total;2021;18,4
Reino Unido;09 Cataluña;Tasa de variación anual;Gasto total;2020;-89,07
Reino Unido;09 Cataluña;Tasa de variación anual;Gasto total;2019;2,18
Reino Unido;09 Cataluña;Tasa de variación anual;Gasto total;2018;13,61
Reino Unido;09 Cataluña;Tasa de variación anual;Gasto total;2017;2
Reino Unido;09 Cataluña;Tasa de variación anual;Gasto total;2016;10,51
Reino Unido;09 Cataluña;Tasa de variación anual;Gasto medio por persona;2023;-2,13
Reino Unido;09 Cataluña;Tasa de variación anual;Gasto medio por persona;2022;23,2
Reino Unido;09 Cataluña;Tasa de variación anual;Gasto medio por persona;2021;16,48
Reino Unido;09 Cataluña;Tasa de variación anual;Gasto medio por persona;2020;-21,38
Reino Unido;09 Cataluña;Tasa de variación anual;Gasto medio por persona;2019;6,78
Reino Unido;09 Cataluña;Tasa de variación anual;Gasto medio por persona;2018;17,3
Reino Unido;09 Cataluña;Tasa de variación anual;Gasto medio por persona;2017;-3,33
Reino Unido;09 Cataluña;Tasa de variación anual;Gasto medio por persona;2016;2,47
Reino Unido;09 Cataluña;Tasa de variación anual;Gasto medio diario por persona;2023;9,96
Reino Unido;09 Cataluña;Tasa de variación anual;Gasto medio diario por persona;2022;25,27
Reino Unido;09 Cataluña;Tasa de variación anual;Gasto medio diario por persona;2021;2,84
Reino Unido;09 Cataluña;Tasa de variación anual;Gasto medio diario por persona;2020;-15,09
Reino Unido;09 Cataluña;Tasa de variación anual;Gasto medio diario por persona;2019;10,71
Reino Unido;09 Cataluña;Tasa de variación anual;Gasto medio diario por persona;2018;15,68
Reino Unido;09 Cataluña;Tasa de variación anual;Gasto medio diario por persona;2017;-1,44
Reino Unido;09 Cataluña;Tasa de variación anual;Gasto medio diario por persona;2016;2,53
Reino Unido;09 Cataluña;Tasa de variación anual;Duración media de los viajes;2023;-10,99
Reino Unido;09 Cataluña;Tasa de variación anual;Duración media de los viajes;2022;-1,66
Reino Unido;09 Cataluña;Tasa de variación anual;Duración media de los viajes;2021;13,27
Reino Unido;09 Cataluña;Tasa de variación anual;Duración media de los viajes;2020;-7,42
Reino Unido;09 Cataluña;Tasa de variación anual;Duración media de los viajes;2019;-3,55
Reino Unido;09 Cataluña;Tasa de variación anual;Duración media de los viajes;2018;1,4
Reino Unido;09 Cataluña;Tasa de variación anual;Duración media de los viajes;2017;-1,92
Reino Unido;09 Cataluña;Tasa de variación anual;Duración media de los viajes;2016;-0,06
Reino Unido;10 Comunitat Valenciana;Dato base;Gasto total;2023;2.729,95
Reino Unido;10 Comunitat Valenciana;Dato base;Gasto total;2022;2.287,76
Reino Unido;10 Comunitat Valenciana;Dato base;Gasto total;2021;719,18
Reino Unido;10 Comunitat Valenciana;Dato base;Gasto total;2020;537,39
Reino Unido;10 Comunitat Valenciana;Dato base;Gasto total;2019;2.459,85
Reino Unido;10 Comunitat Valenciana;Dato base;Gasto total;2018;2.537,32
Reino Unido;10 Comunitat Valenciana;Dato base;Gasto total;2017;2.463,04
Reino Unido;10 Comunitat Valenciana;Dato base;Gasto total;2016;2.216,79
Reino Unido;10 Comunitat Valenciana;Dato base;Gasto medio por persona;2023;1.028
Reino Unido;10 Comunitat Valenciana;Dato base;Gasto medio por persona;2022;1.039
Reino Unido;10 Comunitat Valenciana;Dato base;Gasto medio por persona;2021;1.079
Reino Unido;10 Comunitat Valenciana;Dato base;Gasto medio por persona;2020;920
Reino Unido;10 Comunitat Valenciana;Dato base;Gasto medio por persona;2019;867
Reino Unido;10 Comunitat Valenciana;Dato base;Gasto medio por persona;2018;879
Reino Unido;10 Comunitat Valenciana;Dato base;Gasto medio por persona;2017;854
Reino Unido;10 Comunitat Valenciana;Dato base;Gasto medio por persona;2016;880
Reino Unido;10 Comunitat Valenciana;Dato base;Gasto medio diario por persona;2023;153
Reino Unido;10 Comunitat Valenciana;Dato base;Gasto medio diario por persona;2022;133
Reino Unido;10 Comunitat Valenciana;Dato base;Gasto medio diario por persona;2021;102
Reino Unido;10 Comunitat Valenciana;Dato base;Gasto medio diario por persona;2020;101
Reino Unido;10 Comunitat Valenciana;Dato base;Gasto medio diario por persona;2019;113
Reino Unido;10 Comunitat Valenciana;Dato base;Gasto medio diario por persona;2018;101
Reino Unido;10 Comunitat Valenciana;Dato base;Gasto medio diario por persona;2017;103
Reino Unido;10 Comunitat Valenciana;Dato base;Gasto medio diario por persona;2016;98
Reino Unido;10 Comunitat Valenciana;Dato base;Duración media de los viajes;2023;6,72
Reino Unido;10 Comunitat Valenciana;Dato base;Duración media de los viajes;2022;7,83
Reino Unido;10 Comunitat Valenciana;Dato base;Duración media de los viajes;2021;10,62
Reino Unido;10 Comunitat Valenciana;Dato base;Duración media de los viajes;2020;9,1
Reino Unido;10 Comunitat Valenciana;Dato base;Duración media de los viajes;2019;7,66
Reino Unido;10 Comunitat Valenciana;Dato base;Duración media de los viajes;2018;8,67
Reino Unido;10 Comunitat Valenciana;Dato base;Duración media de los viajes;2017;8,33
Reino Unido;10 Comunitat Valenciana;Dato base;Duración media de los viajes;2016;8,97
Reino Unido;10 Comunitat Valenciana;Tasa de variación anual;Gasto total;2023;19,33
Reino Unido;10 Comunitat Valenciana;Tasa de variación anual;Gasto total;2022;218,11
Reino Unido;10 Comunitat Valenciana;Tasa de variación anual;Gasto total;2021;33,83
Reino Unido;10 Comunitat Valenciana;Tasa de variación anual;Gasto total;2020;-78,15
Reino Unido;10 Comunitat Valenciana;Tasa de variación anual;Gasto total;2019;-3,05
Reino Unido;10 Comunitat Valenciana;Tasa de variación anual;Gasto total;2018;3,02
Reino Unido;10 Comunitat Valenciana;Tasa de variación anual;Gasto total;2017;11,11
Reino Unido;10 Comunitat Valenciana;Tasa de variación anual;Gasto total;2016;21,89
Reino Unido;10 Comunitat Valenciana;Tasa de variación anual;Gasto medio por persona;2023;-1,08
Reino Unido;10 Comunitat Valenciana;Tasa de variación anual;Gasto medio por persona;2022;-3,69
Reino Unido;10 Comunitat Valenciana;Tasa de variación anual;Gasto medio por persona;2021;17,27
Reino Unido;10 Comunitat Valenciana;Tasa de variación anual;Gasto medio por persona;2020;6,18
Reino Unido;10 Comunitat Valenciana;Tasa de variación anual;Gasto medio por persona;2019;-1,35
Reino Unido;10 Comunitat Valenciana;Tasa de variación anual;Gasto medio por persona;2018;2,86
Reino Unido;10 Comunitat Valenciana;Tasa de variación anual;Gasto medio por persona;2017;-2,98
Reino Unido;10 Comunitat Valenciana;Tasa de variación anual;Gasto medio por persona;2016;6,83
Reino Unido;10 Comunitat Valenciana;Tasa de variación anual;Gasto medio diario por persona;2023;15,13
Reino Unido;10 Comunitat Valenciana;Tasa de variación anual;Gasto medio diario por persona;2022;30,66
Reino Unido;10 Comunitat Valenciana;Tasa de variación anual;Gasto medio diario por persona;2021;0,51
Reino Unido;10 Comunitat Valenciana;Tasa de variación anual;Gasto medio diario por persona;2020;-10,61
Reino Unido;10 Comunitat Valenciana;Tasa de variación anual;Gasto medio diario por persona;2019;11,64
Reino Unido;10 Comunitat Valenciana;Tasa de variación anual;Gasto medio diario por persona;2018;-1,19
Reino Unido;10 Comunitat Valenciana;Tasa de variación anual;Gasto medio diario por persona;2017;4,51
Reino Unido;10 Comunitat Valenciana;Tasa de variación anual;Gasto medio diario por persona;2016;4,71
Reino Unido;10 Comunitat Valenciana;Tasa de variación anual;Duración media de los viajes;2023;-14,08
Reino Unido;10 Comunitat Valenciana;Tasa de variación anual;Duración media de los viajes;2022;-26,29
Reino Unido;10 Comunitat Valenciana;Tasa de variación anual;Duración media de los viajes;2021;16,67
Reino Unido;10 Comunitat Valenciana;Tasa de variación anual;Duración media de los viajes;2020;18,78
Reino Unido;10 Comunitat Valenciana;Tasa de variación anual;Duración media de los viajes;2019;-11,63
Reino Unido;10 Comunitat Valenciana;Tasa de variación anual;Duración media de los viajes;2018;4,1
Reino Unido;10 Comunitat Valenciana;Tasa de variación anual;Duración media de los viajes;2017;-7,16
Reino Unido;10 Comunitat Valenciana;Tasa de variación anual;Duración media de los viajes;2016;2,02
Reino Unido;13 Madrid, Comunidad de;Dato base;Gasto total;2023;422,05
Reino Unido;13 Madrid, Comunidad de;Dato base;Gasto total;2022;338,81
Reino Unido;13 Madrid, Comunidad de;Dato base;Gasto total;2021;117,79
Reino Unido;13 Madrid, Comunidad de;Dato base;Gasto total;2020;93,6
Reino Unido;13 Madrid, Comunidad de;Dato base;Gasto total;2019;433,92
Reino Unido;13 Madrid, Comunidad de;Dato base;Gasto total;2018;409,91
Reino Unido;13 Madrid, Comunidad de;Dato base;Gasto total;2017;375,1
Reino Unido;13 Madrid, Comunidad de;Dato base;Gasto total;2016;330,47
Reino Unido;13 Madrid, Comunidad de;Dato base;Gasto medio por persona;2023;989
Reino Unido;13 Madrid, Comunidad de;Dato base;Gasto medio por persona;2022;994
Reino Unido;13 Madrid, Comunidad de;Dato base;Gasto medio por persona;2021;1.058
Reino Unido;13 Madrid, Comunidad de;Dato base;Gasto medio por persona;2020;836
Reino Unido;13 Madrid, Comunidad de;Dato base;Gasto medio por persona;2019;770
Reino Unido;13 Madrid, Comunidad de;Dato base;Gasto medio por persona;2018;708
Reino Unido;13 Madrid, Comunidad de;Dato base;Gasto medio por persona;2017;704
Reino Unido;13 Madrid, Comunidad de;Dato base;Gasto medio por persona;2016;671
Reino Unido;13 Madrid, Comunidad de;Dato base;Gasto medio diario por persona;2023;182
Reino Unido;13 Madrid, Comunidad de;Dato base;Gasto medio diario por persona;2022;199
Reino Unido;13 Madrid, Comunidad de;Dato base;Gasto medio diario por persona;2021;139
Reino Unido;13 Madrid, Comunidad de;Dato base;Gasto medio diario por persona;2020;134
Reino Unido;13 Madrid, Comunidad de;Dato base;Gasto medio diario por persona;2019;174
Reino Unido;13 Madrid, Comunidad de;Dato base;Gasto medio diario por persona;2018;165
Reino Unido;13 Madrid, Comunidad de;Dato base;Gasto medio diario por persona;2017;145
Reino Unido;13 Madrid, Comunidad de;Dato base;Gasto medio diario por persona;2016;147
Reino Unido;13 Madrid, Comunidad de;Dato base;Duración media de los viajes;2023;5,42
Reino Unido;13 Madrid, Comunidad de;Dato base;Duración media de los viajes;2022;4,99
Reino Unido;13 Madrid, Comunidad de;Dato base;Duración media de los viajes;2021;7,59
Reino Unido;13 Madrid, Comunidad de;Dato base;Duración media de los viajes;2020;6,24
Reino Unido;13 Madrid, Comunidad de;Dato base;Duración media de los viajes;2019;4,42
Reino Unido;13 Madrid, Comunidad de;Dato base;Duración media de los viajes;2018;4,3
Reino Unido;13 Madrid, Comunidad de;Dato base;Duración media de los viajes;2017;4,85
Reino Unido;13 Madrid, Comunidad de;Dato base;Duración media de los viajes;2016;4,58
Reino Unido;13 Madrid, Comunidad de;Tasa de variación anual;Gasto total;2023;24,57
Reino Unido;13 Madrid, Comunidad de;Tasa de variación anual;Gasto total;2022;187,63
Reino Unido;13 Madrid, Comunidad de;Tasa de variación anual;Gasto total;2021;25,84
Reino Unido;13 Madrid, Comunidad de;Tasa de variación anual;Gasto total;2020;-78,43
Reino Unido;13 Madrid, Comunidad de;Tasa de variación anual;Gasto total;2019;5,86
Reino Unido;13 Madrid, Comunidad de;Tasa de variación anual;Gasto total;2018;9,28
Reino Unido;13 Madrid, Comunidad de;Tasa de variación anual;Gasto total;2017;13,51
Reino Unido;13 Madrid, Comunidad de;Tasa de variación anual;Gasto total;2016;5,99
Reino Unido;13 Madrid, Comunidad de;Tasa de variación anual;Gasto medio por persona;2023;-0,57
Reino Unido;13 Madrid, Comunidad de;Tasa de variación anual;Gasto medio por persona;2022;-5,97
Reino Unido;13 Madrid, Comunidad de;Tasa de variación anual;Gasto medio por persona;2021;26,5
Reino Unido;13 Madrid, Comunidad de;Tasa de variación anual;Gasto medio por persona;2020;8,53
Reino Unido;13 Madrid, Comunidad de;Tasa de variación anual;Gasto medio por persona;2019;8,86
Reino Unido;13 Madrid, Comunidad de;Tasa de variación anual;Gasto medio por persona;2018;0,58
Reino Unido;13 Madrid, Comunidad de;Tasa de variación anual;Gasto medio por persona;2017;4,79
Reino Unido;13 Madrid, Comunidad de;Tasa de variación anual;Gasto medio por persona;2016;-15,9
Reino Unido;13 Madrid, Comunidad de;Tasa de variación anual;Gasto medio diario por persona;2023;-8,48
Reino Unido;13 Madrid, Comunidad de;Tasa de variación anual;Gasto medio diario por persona;2022;43,08
Reino Unido;13 Madrid, Comunidad de;Tasa de variación anual;Gasto medio diario por persona;2021;4,04
Reino Unido;13 Madrid, Comunidad de;Tasa de variación anual;Gasto medio diario por persona;2020;-23,09
Reino Unido;13 Madrid, Comunidad de;Tasa de variación anual;Gasto medio diario por persona;2019;5,8
Reino Unido;13 Madrid, Comunidad de;Tasa de variación anual;Gasto medio diario por persona;2018;13,41
Reino Unido;13 Madrid, Comunidad de;Tasa de variación anual;Gasto medio diario por persona;2017;-1,02
Reino Unido;13 Madrid, Comunidad de;Tasa de variación anual;Gasto medio diario por persona;2016;9,16
Reino Unido;13 Madrid, Comunidad de;Tasa de variación anual;Duración media de los viajes;2023;8,63
Reino Unido;13 Madrid, Comunidad de;Tasa de variación anual;Duración media de los viajes;2022;-34,28
Reino Unido;13 Madrid, Comunidad de;Tasa de variación anual;Duración media de los viajes;2021;21,59
Reino Unido;13 Madrid, Comunidad de;Tasa de variación anual;Duración media de los viajes;2020;41,12
Reino Unido;13 Madrid, Comunidad de;Tasa de variación anual;Duración media de los viajes;2019;2,89
Reino Unido;13 Madrid, Comunidad de;Tasa de variación anual;Duración media de los viajes;2018;-11,31
Reino Unido;13 Madrid, Comunidad de;Tasa de variación anual;Duración media de los viajes;2017;5,87
Reino Unido;13 Madrid, Comunidad de;Tasa de variación anual;Duración media de los viajes;2016;-22,96
Reino Unido;Otras Comunidades Autónomas;Dato base;Gasto total;2023;807,02
Reino Unido;Otras Comunidades Autónomas;Dato base;Gasto total;2022;787,11
Reino Unido;Otras Comunidades Autónomas;Dato base;Gasto total;2021;266,27
Reino Unido;Otras Comunidades Autónomas;Dato base;Gasto total;2020;193,96
Reino Unido;Otras Comunidades Autónomas;Dato base;Gasto total;2019;912,8
Reino Unido;Otras Comunidades Autónomas;Dato base;Gasto total;2018;997,28
Reino Unido;Otras Comunidades Autónomas;Dato base;Gasto total;2017;835
Reino Unido;Otras Comunidades Autónomas;Dato base;Gasto total;2016;794,96
Reino Unido;Otras Comunidades Autónomas;Dato base;Gasto medio por persona;2023;1.130
Reino Unido;Otras Comunidades Autónomas;Dato base;Gasto medio por persona;2022;1.142
Reino Unido;Otras Comunidades Autónomas;Dato base;Gasto medio por persona;2021;1.028
Reino Unido;Otras Comunidades Autónomas;Dato base;Gasto medio por persona;2020;870
Reino Unido;Otras Comunidades Autónomas;Dato base;Gasto medio por persona;2019;903
Reino Unido;Otras Comunidades Autónomas;Dato base;Gasto medio por persona;2018;900
Reino Unido;Otras Comunidades Autónomas;Dato base;Gasto medio por persona;2017;826
Reino Unido;Otras Comunidades Autónomas;Dato base;Gasto medio por persona;2016;803
Reino Unido;Otras Comunidades Autónomas;Dato base;Gasto medio diario por persona;2023;123
Reino Unido;Otras Comunidades Autónomas;Dato base;Gasto medio diario por persona;2022;117
Reino Unido;Otras Comunidades Autónomas;Dato base;Gasto medio diario por persona;2021;96
Reino Unido;Otras Comunidades Autónomas;Dato base;Gasto medio diario por persona;2020;90
Reino Unido;Otras Comunidades Autónomas;Dato base;Gasto medio diario por persona;2019;106
Reino Unido;Otras Comunidades Autónomas;Dato base;Gasto medio diario por persona;2018;99
Reino Unido;Otras Comunidades Autónomas;Dato base;Gasto medio diario por persona;2017;99
Reino Unido;Otras Comunidades Autónomas;Dato base;Gasto medio diario por persona;2016;93
Reino Unido;Otras Comunidades Autónomas;Dato base;Duración media de los viajes;2023;9,21
Reino Unido;Otras Comunidades Autónomas;Dato base;Duración media de los viajes;2022;9,73
Reino Unido;Otras Comunidades Autónomas;Dato base;Duración media de los viajes;2021;10,69
Reino Unido;Otras Comunidades Autónomas;Dato base;Duración media de los viajes;2020;9,62
Reino Unido;Otras Comunidades Autónomas;Dato base;Duración media de los viajes;2019;8,53
Reino Unido;Otras Comunidades Autónomas;Dato base;Duración media de los viajes;2018;9,09
Reino Unido;Otras Comunidades Autónomas;Dato base;Duración media de los viajes;2017;8,36
Reino Unido;Otras Comunidades Autónomas;Dato base;Duración media de los viajes;2016;8,68
Reino Unido;Otras Comunidades Autónomas;Tasa de variación anual;Gasto total;2023;2,53
Reino Unido;Otras Comunidades Autónomas;Tasa de variación anual;Gasto total;2022;195,61
Reino Unido;Otras Comunidades Autónomas;Tasa de variación anual;Gasto total;2021;37,28
Reino Unido;Otras Comunidades Autónomas;Tasa de variación anual;Gasto total;2020;-78,75
Reino Unido;Otras Comunidades Autónomas;Tasa de variación anual;Gasto total;2019;-8,47
Reino Unido;Otras Comunidades Autónomas;Tasa de variación anual;Gasto total;2018;19,43
Reino Unido;Otras Comunidades Autónomas;Tasa de variación anual;Gasto total;2017;5,04
Reino Unido;Otras Comunidades Autónomas;Tasa de variación anual;Gasto total;2016;-3,09
Reino Unido;Otras Comunidades Autónomas;Tasa de variación anual;Gasto medio por persona;2023;-1,02
Reino Unido;Otras Comunidades Autónomas;Tasa de variación anual;Gasto medio por persona;2022;11,05
Reino Unido;Otras Comunidades Autónomas;Tasa de variación anual;Gasto medio por persona;2021;18,22
Reino Unido;Otras Comunidades Autónomas;Tasa de variación anual;Gasto medio por persona;2020;-3,62
Reino Unido;Otras Comunidades Autónomas;Tasa de variación anual;Gasto medio por persona;2019;0,33
Reino Unido;Otras Comunidades Autónomas;Tasa de variación anual;Gasto medio por persona;2018;8,99
Reino Unido;Otras Comunidades Autónomas;Tasa de variación anual;Gasto medio por persona;2017;2,77
Reino Unido;Otras Comunidades Autónomas;Tasa de variación anual;Gasto medio por persona;2016;-9,03
Reino Unido;Otras Comunidades Autónomas;Tasa de variación anual;Gasto medio diario por persona;2023;4,51
Reino Unido;Otras Comunidades Autónomas;Tasa de variación anual;Gasto medio diario por persona;2022;22,09
Reino Unido;Otras Comunidades Autónomas;Tasa de variación anual;Gasto medio diario por persona;2021;6,36
Reino Unido;Otras Comunidades Autónomas;Tasa de variación anual;Gasto medio diario por persona;2020;-14,59
Reino Unido;Otras Comunidades Autónomas;Tasa de variación anual;Gasto medio diario por persona;2019;6,99
Reino Unido;Otras Comunidades Autónomas;Tasa de variación anual;Gasto medio diario por persona;2018;0,2
Reino Unido;Otras Comunidades Autónomas;Tasa de variación anual;Gasto medio diario por persona;2017;6,66
Reino Unido;Otras Comunidades Autónomas;Tasa de variación anual;Gasto medio diario por persona;2016;-6,61
Reino Unido;Otras Comunidades Autónomas;Tasa de variación anual;Duración media de los viajes;2023;-5,29
Reino Unido;Otras Comunidades Autónomas;Tasa de variación anual;Duración media de los viajes;2022;-9,04
Reino Unido;Otras Comunidades Autónomas;Tasa de variación anual;Duración media de los viajes;2021;11,15
Reino Unido;Otras Comunidades Autónomas;Tasa de variación anual;Duración media de los viajes;2020;12,83
Reino Unido;Otras Comunidades Autónomas;Tasa de variación anual;Duración media de los viajes;2019;-6,22
Reino Unido;Otras Comunidades Autónomas;Tasa de variación anual;Duración media de los viajes;2018;8,77
Reino Unido;Otras Comunidades Autónomas;Tasa de variación anual;Duración media de los viajes;2017;-3,64
Reino Unido;Otras Comunidades Autónomas;Tasa de variación anual;Duración media de los viajes;2016;-2,59
Países Nórdicos;Total;Dato base;Gasto total;2023;6.970,64
Países Nórdicos;Total;Dato base;Gasto total;2022;5.937,23
Países Nórdicos;Total;Dato base;Gasto total;2021;2.446,18
Países Nórdicos;Total;Dato base;Gasto total;2020;1.499,45
Países Nórdicos;Total;Dato base;Gasto total;2019;6.759,16
Países Nórdicos;Total;Dato base;Gasto total;2018;7.054,26
Países Nórdicos;Total;Dato base;Gasto total;2017;6.982,38
Países Nórdicos;Total;Dato base;Gasto total;2016;5.996,85
Países Nórdicos;Total;Dato base;Gasto medio por persona;2023;1.454
Países Nórdicos;Total;Dato base;Gasto medio por persona;2022;1.384
Países Nórdicos;Total;Dato base;Gasto medio por persona;2021;1.330
Países Nórdicos;Total;Dato base;Gasto medio por persona;2020;1.276
Países Nórdicos;Total;Dato base;Gasto medio por persona;2019;1.222
Países Nórdicos;Total;Dato base;Gasto medio por persona;2018;1.216
Países Nórdicos;Total;Dato base;Gasto medio por persona;2017;1.198
Países Nórdicos;Total;Dato base;Gasto medio por persona;2016;1.169
Países Nórdicos;Total;Dato base;Gasto medio diario por persona;2023;163
Países Nórdicos;Total;Dato base;Gasto medio diario por persona;2022;149
Países Nórdicos;Total;Dato base;Gasto medio diario por persona;2021;134
Países Nórdicos;Total;Dato base;Gasto medio diario por persona;2020;140
Países Nórdicos;Total;Dato base;Gasto medio diario por persona;2019;148
Países Nórdicos;Total;Dato base;Gasto medio diario por persona;2018;142
Países Nórdicos;Total;Dato base;Gasto medio diario por persona;2017;139
Países Nórdicos;Total;Dato base;Gasto medio diario por persona;2016;134
Países Nórdicos;Total;Dato base;Duración media de los viajes;2023;8,93
Países Nórdicos;Total;Dato base;Duración media de los viajes;2022;9,28
Países Nórdicos;Total;Dato base;Duración media de los viajes;2021;9,94
Países Nórdicos;Total;Dato base;Duración media de los viajes;2020;9,13
Países Nórdicos;Total;Dato base;Duración media de los viajes;2019;8,25
Países Nórdicos;Total;Dato base;Duración media de los viajes;2018;8,53
